model,fold,selected_C,term,coefficient_standardized,scaler_mean,scaler_scale,imputation_median
routine_plus_belong_logit,4,1.0,missingindicator_ST062Q02TA,0.004706780358532749,0.01829165258533288,0.13400398513115333,
routine_plus_belong_logit,4,1.0,missingindicator_ST062Q03TA,0.01744184377145747,0.015841500506928015,0.1248621134236363,
routine_plus_belong_logit,4,1.0,missingindicator_BELONG,0.03570326885669678,0.01034978033119297,0.10120603923822444,
routine_plus_bullied_logit,0,0.1,ST001D01T,-0.002957457907793549,9.769542804022649,0.500784749381774,10.0
routine_plus_bullied_logit,0,0.1,REPEAT,0.09154344103236593,0.19039972956984705,0.3926164445735509,0.0
routine_plus_bullied_logit,0,0.1,ST062Q01TA,0.12558615258552336,1.331192427955717,0.6593339649574673,1.0
routine_plus_bullied_logit,0,0.1,ST062Q02TA,0.02609029314715511,1.3494464632806558,0.6744757283871872,1.0
routine_plus_bullied_logit,0,0.1,ST062Q03TA,0.09160983437605297,1.5721710470717485,0.8765909671205533,1.0
routine_plus_bullied_logit,0,0.1,BULLIED,0.5258403155947653,-0.4297455801571875,0.9386257569576836,-1.1794
routine_plus_bullied_logit,0,0.1,missingindicator_REPEAT,0.052943589985825094,0.002873320375221837,0.053526296390121866,
routine_plus_bullied_logit,0,0.1,missingindicator_ST062Q01TA,-0.01360055273720908,0.015422969661117215,0.12322784453178377,
routine_plus_bullied_logit,0,0.1,missingindicator_ST062Q02TA,0.03837930122960731,0.01863432772754162,0.13522976579763862,
routine_plus_bullied_logit,0,0.1,missingindicator_ST062Q03TA,0.006240833746638725,0.016606101580326205,0.12779021469044527,
routine_plus_bullied_logit,0,0.1,missingindicator_BULLIED,0.07616504790772549,0.009000253528268403,0.09444177552701608,
routine_plus_bullied_logit,1,10.0,ST001D01T,-0.04687661013426706,9.7710375126732,0.49263858237135283,10.0
routine_plus_bullied_logit,1,10.0,REPEAT,0.06558631453534862,0.1917032781345049,0.3936408658752157,0.0
routine_plus_bullied_logit,1,10.0,ST062Q01TA,0.11453815449862166,1.3253210544102738,0.6507236775269444,1.0
routine_plus_bullied_logit,1,10.0,ST062Q02TA,0.043169725959106654,1.346823251098344,0.6718957856639265,1.0
routine_plus_bullied_logit,1,10.0,ST062Q03TA,0.04076965692916184,1.56471781007097,0.8691623768708755,1.0
routine_plus_bullied_logit,1,10.0,BULLIED,0.5398240978519436,-0.4350232764447448,0.9346360676598734,-1.228
routine_plus_bullied_logit,1,10.0,missingindicator_REPEAT,0.05934285650547806,0.002914836093274755,0.05391047972170251,
routine_plus_bullied_logit,1,10.0,missingindicator_ST062Q01TA,0.010006911461686354,0.01592598850963163,0.12518926231759142,
routine_plus_bullied_logit,1,10.0,missingindicator_ST062Q02TA,0.030499199257970233,0.018207164582629266,0.13369990179686114,
routine_plus_bullied_logit,1,10.0,missingindicator_ST062Q03TA,-0.012943724392344515,0.015799256505576207,0.12469819565433661,
routine_plus_bullied_logit,1,10.0,missingindicator_BULLIED,0.07761033017408935,0.008279824264954376,0.09061605142079326,
routine_plus_bullied_logit,2,0.1,ST001D01T,-0.011516328799037471,9.777618182586288,0.49111845296808965,10.0
routine_plus_bullied_logit,2,0.1,REPEAT,0.09013632955266852,0.1839381521693211,0.38743374704051886,0.0
routine_plus_bullied_logit,2,0.1,ST062Q01TA,0.09075997804511013,1.330953487389633,0.6607747803683959,1.0
routine_plus_bullied_logit,2,0.1,ST062Q02TA,0.08145734909612475,1.3502598115837945,0.6747463689569816,1.0
routine_plus_bullied_logit,2,0.1,ST062Q03TA,0.07802598387759874,1.573064086857336,0.8789567571009252,1.0
routine_plus_bullied_logit,2,0.1,BULLIED,0.4909522879188524,-0.43194500443580747,0.9325750374560284,-1.1723
routine_plus_bullied_logit,2,0.1,missingindicator_REPEAT,0.07057912464759308,0.0028727134468336784,0.05352065922880678,
routine_plus_bullied_logit,2,0.1,missingindicator_ST062Q01TA,0.003201967903401507,0.01579992395758523,0.1247007873291895,
routine_plus_bullied_logit,2,0.1,missingindicator_ST062Q02TA,0.04163140890756417,0.018799374762367455,0.1358158984468001,
