model,split,fold,fold_label,n,weighted_prevalence,auprc,auroc,brier,calibration_intercept,calibration_slope,recall_at_5pct_capacity,precision_at_5pct_capacity,selected_weight_fraction_at_5pct_capacity,recall_at_10pct_capacity,precision_at_10pct_capacity,selected_weight_fraction_at_10pct_capacity,recall_at_15pct_capacity,precision_at_15pct_capacity,selected_weight_fraction_at_15pct_capacity,recall_at_20pct_capacity,precision_at_20pct_capacity,selected_weight_fraction_at_20pct_capacity
routine_logit,region_iecv,8,Cataluña,1526,0.1320915711420154,0.20590167506746834,0.6107306768172238,0.11200716093610447,0.4930594090706105,1.3421857001710258,0.12214027589740915,0.3226740188601602,0.049999999999999996,0.18289623953942222,0.2415905163672867,0.10000000000000002,0.25867709305496794,0.22779375760053355,0.15,0.3287137524275131,0.21710158007068842,0.2
routine_logit,region_iecv,9,Ceuta,340,0.1602099367879011,0.1588588368126978,0.5150564259343335,0.13747587816937404,-1.6894942568339728,-0.018979325628459928,0.018778444825681192,0.06016986916994946,0.04999999999999999,0.024827098995035827,0.03977547960621653,0.09999999999999999,0.12536160846711436,0.13389450245430667,0.15,0.13207049754591077,0.10579503031688506,0.19999999999999998
routine_logit,region_iecv,10,Comunidad Valenciana,1596,0.16762050918742502,0.230966374951169,0.5921366857299264,0.13759267862878963,0.12017830246977268,0.9672861219895701,0.08845157262686346,0.29652595284286715,0.049999999999999996,0.17342250192027148,0.290691680764331,0.10000000000000002,0.22738022987202958,0.2540905994020222,0.15000000000000005,0.28105766592323606,0.23555514536541014,0.19999999999999998
routine_logit,region_iecv,11,Extremadura,1646,0.11548050095597517,0.15533207622537723,0.5661059923606444,0.10246527503014426,-0.6862535594667849,0.7514972797647448,0.0933507353117904,0.21560379356828394,0.05,0.15589490885396468,0.18002822170941932,0.09999999999999999,0.19456346136673944,0.14978857324239725,0.15000000000000002,0.24975000292630406,0.1442062772584293,0.2
routine_logit,region_iecv,12,Galicia,1752,0.17179822309700202,0.2095510109292875,0.5747464590533011,0.1423672173864333,-0.30661345667998774,0.6886453310998175,0.07322856880917741,0.25161076002706445,0.05,0.12175432654621307,0.20917176955011543,0.10000000000000002,0.20946518016834695,0.23990497169076924,0.15000000000000002,0.2518180419895433,0.21630946078784885,0.20000000000000004
routine_logit,region_iecv,13,La Rioja,1366,0.1208221436487346,0.1612940719834437,0.6009751835655653,0.1060894336931824,-0.4012268674991231,0.8923414816994657,0.07593406575101991,0.1834903320000437,0.05,0.17479507646113643,0.2111911583727897,0.1,0.25842873924066406,0.20815942836997928,0.15,0.3129742355212944,0.1890710902125336,0.2
routine_logit,region_iecv,14,Madrid,2035,0.15779798886730753,0.22900333533855727,0.6122388683299574,0.13022388039238092,0.5015148177096267,1.2148133178837013,0.09073977718560115,0.2863710870031092,0.04999999999999998,0.17834531220237554,0.2814253158944695,0.09999999999999996,0.25848273873326166,0.271920375526816,0.14999999999999994,0.3162400387588811,0.24951021057735429,0.19999999999999987
routine_logit,region_iecv,15,Melilla,247,0.17188497345922976,0.20116143546572623,0.5561404128707881,0.14401324065403404,-0.8999368457353674,0.3892956372442498,0.049141900427207896,0.1689350850133348,0.05000000000000001,0.14743173126533396,0.2534129921559022,0.10000000000000003,0.18185334509509066,0.20838571596761205,0.15000000000000002,0.2562531479255869,0.2202303276501679,0.20000000000000004
routine_logit,region_iecv,16,Murcia,1604,0.15582566896340327,0.21062250601898252,0.6050149776373146,0.12956234590915147,-0.04140742948964564,0.9477504843604622,0.07041815581539712,0.21945912474206838,0.05000000000000001,0.13547322472986859,0.2111020587016123,0.10000000000000003,0.21942088895085865,0.22794271203541452,0.14999999999999997,0.2781990543683868,0.2167527687597004,0.19999999999999998
routine_logit,region_iecv,17,Navarra,1761,0.11541166527039916,0.14055475783495247,0.5787319292596502,0.10275428982236949,-0.799597195140782,0.6764746299900917,0.06343472739050325,0.14642215048223559,0.050000000000000024,0.12779967964276556,0.14749573848595102,0.10000000000000002,0.23873226123005936,0.1836832521488607,0.15,0.290201389927494,0.1674631283765826,0.2
