model,split,group_axis,group,n,events,weighted_prevalence,auprc,auroc,brier,calibration_intercept,calibration_slope,recall_at_global_10pct_capacity,precision_at_global_10pct_capacity,selection_rate
routine_hgb,school_nested,escs_weighted_tertile,low,9221,1551,0.174071136005217,0.21554721476658933,0.579989612265088,0.14270876621726392,-0.22887876732034526,0.7823213487585483,0.18963056012221446,0.22809121730906523,0.14471932506305915
routine_hgb,school_nested,escs_weighted_tertile,middle,9997,1388,0.1492357801380013,0.20249334908400496,0.5939491388318467,0.12510129506250936,0.08238452581346498,1.021097505692903,0.1529422196595087,0.2513214816192945,0.09081774991880381
routine_hgb,school_nested,escs_weighted_tertile,high,10157,1066,0.11087634837282896,0.1487233405615679,0.5677294832444082,0.09845571028010315,-0.4592864537869052,0.8754949018718913,0.10027238200180469,0.19164567022555462,0.05801245363863689
routine_hgb,region_iecv,sex,female,14663,2604,0.18888800523958946,0.24947741694738712,0.6048718552866847,0.15241936320419222,0.474322046236106,1.0860610581193473,0.1409375270967537,0.2836710717245539,0.09384604568546177
routine_hgb,region_iecv,sex,male,14925,1453,0.10323940950045454,0.13752836328970353,0.5763404162332851,0.09405868436971067,-0.719325952785756,0.818788500713637,0.17084513209738536,0.1662878473709033,0.10606878874569801
routine_hgb,region_iecv,immigration_background,native,25034,3116,0.13233832405181511,0.17499629639044942,0.5918855243356377,0.11364458345444245,-0.16479216756166504,0.9577648334894537,0.1465742198160807,0.2143921262768922,0.09047620794902847
routine_hgb,region_iecv,immigration_background,immigrant,3765,777,0.20585904087890494,0.22354854318047407,0.523284249008716,0.16636904242625755,-0.8257642586472649,0.30699193790686913,0.12892280520262103,0.2121260481927419,0.12511393698483822
routine_hgb,region_iecv,escs_weighted_tertile,low,9221,1551,0.174071136005217,0.2052191348379146,0.5740168093922828,0.1432083856013331,-0.34152834016401973,0.7149225699290802,0.178802749560467,0.20924913570089781,0.1487432558925177
routine_hgb,region_iecv,escs_weighted_tertile,middle,9997,1388,0.1492357801380013,0.20318758192663372,0.5914113244472806,0.12512861939499947,0.06692962902134221,1.0150875638681716,0.14900321303534209,0.25299711118443685,0.08789274563766628
routine_hgb,region_iecv,escs_weighted_tertile,high,10157,1066,0.11087634837282896,0.14372181106485746,0.5705591063260054,0.09865243533033723,-0.5257992941859914,0.8400908379947003,0.09463152726533701,0.18482694108272907,0.05676877041117042
expanded_logit,school_nested,sex,female,14663,2604,0.18888800523958946,0.38060500202480774,0.7232396723816592,0.1394501786349351,0.38530727492774314,1.0537450505962578,0.2661076618876159,0.4721032510884506,0.1064693905772439
expanded_logit,school_nested,sex,male,14925,1453,0.10323940950045454,0.2226285989757527,0.7076311456821014,0.08973890935605086,-0.5728322407573719,0.8798351140868185,0.2640479024693542,0.2911782595548088,0.09362014036504168
expanded_logit,school_nested,immigration_background,native,25034,3116,0.13233832405181511,0.2892422637477874,0.72523689992109,0.10549502335430465,-0.008001704506797106,1.0282100190781565,0.24236565580544928,0.37870673993775616,0.08469420085389535
expanded_logit,school_nested,immigration_background,immigrant,3765,777,0.20585904087890494,0.3461445580119815,0.667818444327402,0.15462817305301238,-0.08020967557775456,0.7818120697758705,0.30184882806811464,0.4080247890265105,0.15229052721227251
expanded_logit,school_nested,escs_weighted_tertile,low,9221,1551,0.174071136005217,0.3389546940294273,0.7101838229981232,0.13183209941168444,0.009827236212879972,0.9416848341845121,0.313904013630618,0.4134427965058402,0.1321624870745739
expanded_logit,school_nested,escs_weighted_tertile,middle,9997,1388,0.1492357801380013,0.2966597696724466,0.71506428321434,0.1175390243188519,-0.002456829393181193,0.9708316819258426,0.22738527760552824,0.36026482528165915,0.09419187473777657
